Timestamp,Age,Gender,"How often did you go to movie theaters last year?
","Of the following movie genres, which ones do you feel are best enjoyed in a movie theatre?(Select all that apply)","Do you think online streaming services have made the viewing experience more comfortable, customized, portable while providing you with the flexibility of time?","How many of the following online digital streaming subscriptions do you currently have active (select all that apply):
",Which of the following types of movie viewing experiences do you feel comfortable doing alone?,"Binge watching implies watching multiple episodes of a TV show or movies in one sitting for an extended period of time
Have you ever done binge watching ?","Have you ever experienced feelings of anxiety, sadness, or emptiness when a show that you were binge-watching came to an end?","How much do you agree or disagree with the following statement: ""The growing popularity of OTT (Netflix, Hulu, HBO Max, etc.) platforms has led to a significant improvement in quality of content being produced""?","How much do you agree or disagree with the following statement: ""Movies have a significant impact on our culture and the way that we think and behave""?",Will you rewatch your favorite movie if it's made available?,Do you feel that re-watching movies brings back memories of your previous viewing experience?,How much do you agree that going to the movies is a social outing?,"How much do you agree with the statement: ""Watching movies can help us develop a better understanding of the thoughts and feelings of others, also known as theory of mind.""","Lastly, 
will you stop going to the movies now that online streaming platforms are available?",,,,,,
5/4/23 15:21,20-35,Female,Sometimes,"Action, SciFi, Fantasy",No,"Netflix, Hulu, HBO Max, Disney+, Prime video",Online streaming,Yes,Yes,3,3,"Yes, but only if it is available online",Yes,5,5,No,,,,,,
5/4/23 15:22,35-50,Male,Rarely,"SciFi, Horror",No,"Netflix, Hulu, HBO Max, Disney+, Paramount+, Prime video, Apple TV, ESPN, Peacock",Both,Maybe,No,3,3,"Yes, I will go to the movie theater",Yes,4,5,No,,,,,,
5/4/23 15:25,Under 20,Female,Often,"Romantic, Comedy, Horror",Yes,Disney+,Online streaming,Maybe,No,2,2,No,Not always,5,3,Maybe,,,,,,
5/4/23 15:28,20-35,Male,Rarely,"Romantic, Horror",Yes,Hulu,Both,Yes,,,,,,,3,Yes,,,,,,
5/4/23 15:30,20-35,Female,Rarely,"Romantic, Comedy, Action, SciFi",Yes,"Netflix, Hulu, Prime video",Online streaming,Yes,Yes,2,3,"Yes, but only if it is available online",Yes,5,5,No,,,,,,
5/4/23 15:30,35-50,Female,Sometimes,"Romantic, Comedy, Thriller, Suspense",Maybe,Netflix,Online streaming,Yes,Yes,3,3,"Yes, but only if it is available online",Yes,4,4,Maybe,,,,,,
5/4/23 15:30,20-35,Male,Rarely,"Action, SciFi, Fantasy, Thriller",Yes,"Prime video, Apple TV",Online streaming,Yes,Yes,3,2,"Yes, I will go to the movie theater",Yes,4,4,Yes,,,,,,
5/4/23 15:33,20-35,Female,Never,"Action, SciFi, Horror",Yes,"Netflix, Disney+, Prime video",Both,Yes,No,3,3,"Yes, but only if it is available online",Not always,3,5,Yes,,,,,,
5/4/23 15:35,20-35,Female,Sometimes,"Drama, Romantic, Comedy, Action",No,"Netflix, Prime video",Both,Yes,Yes,3,3,"Yes, but only if it is available online",Yes,5,5,No,,,,,,
5/4/23 15:36,20-35,Male,Sometimes,"Action, SciFi, Fantasy",No,"Netflix, Disney+, Prime video",Online streaming,Yes,Yes,3,3,"Yes, but only if it is available online",Yes,3,4,Maybe,,,,,,
5/4/23 15:38,20-35,Male,Never,SciFi,No,"Netflix, HBO Max, Prime video, Apple TV",Online streaming,No,No,3,2,"Yes, I will go to the movie theater",Yes,5,5,Yes,,,,,,
5/4/23 15:39,20-35,Male,Rarely,"Comedy, Action, Horror, Thriller, Suspense",No,"Netflix, Prime video",Online streaming,Yes,Yes,2,2,No,Not always,2,3,No,,,,,,
5/4/23 15:41,20-35,Male,Sometimes,"Drama, Romantic, Comedy, Action, SciFi, Fantasy, Horror, Thriller, Suspense",No,"Netflix, Hulu, HBO Max, Disney+, Prime video",Both,Yes,Yes,1,2,"Yes, but only if it is available online",Yes,1,1,Yes,,,,,,
5/4/23 15:45,20-35,Female,Rarely,"Action, SciFi, Thriller",No,"Netflix, Hulu, Prime video",Both,Yes,No,3,3,"Yes, but only if it is available online",Not always,4,2,Yes,,,,,,
